,title,link,score
0,Show HN: Talk to any ArXiv paper just by changing the URL,https://github.com/evanhu1/talk2arxiv,93 points
1,Gameboy Music and Sound Archive for MIDI,https://www.vgmusic.com/music/console/nintendo/gameboy/,25 points
2,Improving Emacs Isearch Usability with Transient,http://yummymelon.com/devnull/improving-emacs-isearch-usability-with-transient.html,92 points
3,Six Degrees of Wikipedia,https://www.sixdegreesofwikipedia.com/,164 points
4,The transparent chip inside a vintage Hewlett-Packard floppy drive,https://www.righto.com/2023/12/HP-silicon-on-sapphire-phi-chip.html,117 points
5,Making synthesized sounds more acoustic,https://nathan.ho.name/posts/acoustic-sounds/,91 points
6,X: All Tweets Disappeared,https://twitter.com/,17 points
7,"100 Lines of C, in a Closet (2020)",https://blog.notryan.com/009.txt,81 points
8,Blogging Like a Hacker (2008),https://tom.preston-werner.com/2008/11/17/blogging-like-a-hacker,36 points
9,The Closing of the Bulgarian Frontier,https://www.switchyardmag.com/issue-1/bulgarianfrontier,168 points
10,Researchers uncover on/off switch for breast cancer metastasis in mice,https://news.stanford.edu/2023/12/20/breast-cancer-metastasis-off-switch-revealed/,254 points
11,Creating a Disc Golf picker upper,https://victorguyard.com/projects/createxcapstone,49 points
12,IBM demonstrates 133-qubit Heron,https://www.tomshardware.com/tech-industry/quantum-computing/ibm-demonstrates-useful-quantum-computing-within-133-qubit-heron-announces-entry-into-quantum-centric-supercomputing-era,95 points
13,Uniting the Linux random-number devices (2022),https://lwn.net/Articles/884875/,87 points
14,Catalyst – Tailwind CSS Application UI Kit,https://tailwindui.com/templates/catalyst,126 points
15,Neumann Drive: A Pulsed Cathodic Arc Thruster for Spacecrafts,https://neumannspace.com/neumann-drive/,89 points
16,Lessons on building business value,https://lockedinspace.com/posts/002.html,60 points
17,Implementation of Mamba in one file of PyTorch,https://github.com/johnma2006/mamba-minimal,366 points
18,U.S. workers say banned weed killer in 50 countries is giving them Parkinson's,https://www.latimes.com/environment/story/2023-12-20/california-workers-say-herbicide-is-giving-them-parkinsons,85 points
19,All code is technical debt,https://www.tokyodev.com/articles/all-code-is-technical-debt,237 points
20,OpenAI Begins Tackling ChatGPT Data Leak Vulnerability,https://embracethered.com/blog/posts/2023/openai-data-exfiltration-first-mitigations-implemented/,80 points
21,Development slowness in big and legacy applications,https://michaelscodingspot.com/slow-development-in-big-companies/,5 points
22,TigerEye (YC S22) is hiring an experienced front end engineer,https://jobs.ashbyhq.com/TigerEye/1dc43727-c2f8-4528-a5ac-7a875001f14f,186 points
23,My failed attempt at using a closet as an office,http://blog.pamelafox.org/2023/12/my-failed-attempt-at-using-closet-as.html,328 points
24,High-Speed Large Language Model Serving on PCs with Consumer-Grade GPUs,https://github.com/SJTU-IPADS/PowerInfer,69 points
25,Building a faster hash table for high performance SQL joins,https://questdb.io/blog/building-faster-hash-table-high-performance-sql-joins/,52 points
26,A closer look at e/OS: Murena's privacy-first 'deGoogled' Android alternative,https://techcrunch.com/2023/09/05/murena-eos-fairphone-4/,69 points
27,Lisa Emulator Project,https://lisa.sunder.net/,116 points
28,How to Escape a Container,https://www.panoptica.app/research/7-ways-to-escape-a-container,255 points
29,Show HN: Quack Companion – VSCode extension for OSS contribution assistance,https://github.com/quack-ai/companion,41 points
30,"AI cannot be patent 'inventor', UK Supreme Court rules in landmark case",https://www.reuters.com/technology/ai-cannot-be-patent-inventor-uk-supreme-court-rules-landmark-case-2023-12-20/,64 points
31,Show HN: Forwarder – FOSS MITM proxy written in Go,https://forwarder-proxy.io/,52 points
32,iMessage Key Verification,https://support.apple.com/en-gb/HT213465,214 points
33,Security and crashing with modal logic,https://ryanbrewer.dev/posts/security-crashing-modal-logic.html,11 points
34,Hacker News Activity Analysis with GPT-4 Agent,https://eu.getdot.ai/share/c80139c9-13f4-4db4-88f6-6e058ba31ad4?org_id=getdot.ai,120 points
35,Show HN: Code interpreter with mixtral-8x7B-instruct,https://github.com/stellar-amenities/assistants/tree/main/examples/hello-world-code-interpreter-mixtral-nodejs,6 points
36,Conditioning Is Grouping By,https://www.alexmolas.com/2023/11/30/conditioning-is-grouping-by.html,25 points
37,Dyalog '18: Rectangles All the Way Down (2018) [video],https://www.youtube.com/watch?v=mK2WUDIY4hk,17 points
38,"Volkswagen, Porsche, and Audi say they will use Tesla's EV charging plug",https://www.theverge.com/2023/12/19/24008426/volkswagen-audi-porsche-tesla-nacs-ev-charging-plug,385 points
39,Dear ImGui: Graphical User Interface library for C++,https://github.com/ocornut/imgui,135 points
40,Effection 3.0 – Structured concurrency and effects for JavaScript,https://frontside.com/blog/2023-12-18-announcing-effection-v3/,21 points
41,String pinsetters are upending bowling,https://www.latimes.com/california/story/2023-11-21/la-me-bowling-revolution,112 points
42,An AI that learns about chemical reactions and designs a procedure to make them,https://new.nsf.gov/science-matters/meet-coscientist-your-ai-lab-partner,116 points
43,Show HN: fx-upscale – Metal-powered spatial video upscaling,https://github.com/Finnvoor/fx-upscale,7 points
44,Electric scooter company Bird files for bankruptcy,https://techcrunch.com/2023/12/20/bird-bankruptcy/,75 points
45,Null Island Tourist Shirt,https://github.com/yetzt/null-island,76 points
46,Arxive Gets HTML Running,https://info.arxiv.org/about/accessible_HTML.html,22 points
47,Most 16-year-olds don't have servers in their rooms,https://varun.ch/server,40 points
48,How I Work,https://blar.do/how-i-work/,68 points
49,Figma and Adobe abandon proposed merger,https://www.figma.com/blog/figma-adobe-abandon-proposed-merger/,2167 points
50,Math Team,https://benexdict.io/p/math-team,126 points
51,Winning over hearts and minds work: ADKAR my favorite change management approach,https://blog.dagworks.io/p/winning-hearts-and-minds-at-work,32 points
52,Quint: A specification language based on the temporal logic of actions (TLA),https://github.com/informalsystems/quint,93 points
53,Text-to-CAD,https://zoo.dev/blog/introducing-text-to-cad,85 points
54,Mistral 7B Fine-Tune Optimized,https://openpipe.ai/blog/mistral-7b-fine-tune-optimized,208 points
55,The Machiavellian Maze,https://www.robkhenderson.com/p/the-machiavellian-maze,60 points
56,"Simulating fluids, fire, and smoke in real-time",https://andrewkchan.dev/posts/fire.html,741 points
57,Rolex fined $100M for preventing its watches being sold online,https://usa.watchpro.com/rolex-fined-100-million-for-preventing-its-watches-being-sold-online/,201 points
58,GM's CarPlay replacement software is off to a disastrous start,https://9to5mac.com/2023/12/20/gm-carplay-new-software-reviews/,16 points
59,Mercedes Gets Approval for Turquoise Automated Level 3 Driving Lights,https://jalopnik.com/mercedes-turquoise-automated-driving-lights-level-3-1851110043,13 points
60,What's next for Tor and privacy online?,https://blog.torproject.org/tor-in-2023/,165 points
61,Anthropic seeking to raise $750M in funding round led by Menlo Ventures,https://www.reuters.com/markets/deals/anthropic-raise-750-mln-menlo-ventures-led-funding-round-information-2023-12-21/,11 points
62,Identifying and eliminating CSAM in generative ML training data and models,https://purl.stanford.edu/kh752sm9123,31 points
63,"Trying chDB, an embeddable ClickHouse engine",https://antonz.org/trying-chdb/,145 points
64,An underground delivery train comes to the Atlanta suburbs,https://www.bloomberg.com/news/articles/2023-12-14/are-underground-tubes-the-future-of-home-delivery-this-startup-hopes-so,85 points
65,New York Times Doxxes Source By Publishing Passport Number,https://theintercept.com/2023/12/20/new-york-times-doxxes-source-human-trafficking/,51 points
66,Advice for new software devs who've read all those other advice essays,https://buttondown.email/hillelwayne/archive/advice-for-new-software-devs-whove-read-all-those/,361 points
67,"Build a search engine, not a vector DB",https://blog.elicit.com/search-vs-vector-db/,221 points
68,Vulkan video extensions for accelerated H.264 and H.265 encode,https://www.khronos.org/blog/khronos-finalizes-vulkan-video-extensions-for-accelerated-h.264-and-h.265-encode,237 points
69,Study helps explain post-Covid exercise intolerance,https://news.yale.edu/2023/12/19/study-helps-explain-post-covid-exercise-intolerance,36 points
70,Show HN: Easily train AlphaZero-like agents on any environment you want,https://github.com/s-casci/tinyzero,76 points
71,VanJS – A no-JSX framework based on vanilla JavaScript,https://vanjs.org/,143 points
72,Making Software Reliable: The Importance of Testability,https://www.codereliant.io/making-software-reliable-the-importance-of-testability/,36 points
73,Perplexity Labs Playground,https://labs.perplexity.ai/,285 points
74,Kia's scheme to deliberately withhold deliveries,https://www.cbc.ca/news/canada/kia-canada-car-sales-1.7063216,7 points
75,A KDE Plasma theme that aims to replicate the look and feel of Windows 7,https://gitgud.io/wackyideas/aerothemeplasma,170 points
76,The Disturbing Impact of the Cyberattack at the British Library,https://www.newyorker.com/news/letter-from-the-uk/the-disturbing-impact-of-the-cyberattack-at-the-british-library,9 points
77,There's a Concorde Engine Complete with Afterburner for Sale on eBay,https://simpleflying.com/concorde-engine-for-sale-ebay/,139 points
78,MSFT announces more Xbox leadership changes as Activision's Bobby Kotick departs,https://www.theverge.com/2023/12/20/24009129/microsoft-gaming-xbox-phil-spencer-bobby-kotick-activision-leadership-changes,34 points
79,C Object Oriented Programming (2014),https://nullprogram.com/blog/2014/10/21/,17 points
80,Common Lisp interface to the pigpio Raspberry Pi hardware library,https://github.com/jetmonk/cl-pigpio,90 points
81,"Don’t starve, Diablo – Parallax 7",https://simonschreibt.de/gat/dont-starve-diablo-parallax-7/,292 points
82,Gov.uk Conventions for Rails Applications,https://docs.publishing.service.gov.uk/manual/conventions-for-rails-applications.html,30 points
83,Jepsen: MySQL 8.0.34,https://jepsen.io/analyses/mysql-8.0.34,352 points
84,The Linux graphics stack in a nutshell,https://lwn.net/SubscriberLink/955376/b3fba3bbfabbc411/,254 points
85,Warner Bros Discovery and Paramount are in early discussions to merge,https://www.cnbc.com/2023/12/20/warner-bros-discovery-shares-fall-on-report-about-paramount-merger-talks.html,36 points
86,Borges and AI,https://arxiv.org/abs/2310.01425,83 points
87,Mercedes Gets Approval for Turquoise Automated Driving Lights,https://jalopnik.com/mercedes-turquoise-automated-driving-lights-level-3-1851110043,21 points
88,How to learn chess as an adult (2021),https://www.alexcrompton.com/blog/how-to-learn-chess,571 points
89,How to learn chess as an adult (2021),https://www.alexcrompton.com/blog/how-to-learn-chess,571 points
90,Chevrolet Blazer EV Left Me Stranded in Rural Virginia,https://insideevs.com/reviews/701169/2024-blazer-ev-stranded-broken/,30 points
91,Making my own bed sensor,https://www.homeautomationguy.io/blog/making-my-own-bed-sensor,230 points
92,A Lufthansa A350's frustrating Oakland diversion,https://onemileatatime.com/news/lufthansa-a350-oakland-diversion/,242 points
93,An update on HDR and color management in KWin,https://zamundaaa.github.io/wayland/2023/12/18/update-on-hdr-and-colormanagement-in-plasma.html,95 points
94,Show HN: I built an open source AI video search engine to learn more about AI,https://avse.vercel.app/,130 points
95,Is Twitter/X Down,https://twitter.com/home,90 points
96,The SEC attaches a string to Bitcoin ETFs,https://finance.yahoo.com/news/sec-attaches-string-bitcoin-etfs-151014197.html,22 points
97,The Inner Ring (1944),https://www.lewissociety.org/innerring/,182 points
98,Encouraging students to understand the 1D wave equation,https://journals.aps.org/prper/abstract/10.1103/PhysRevPhysEducRes.19.020161,94 points
99,Terminal Emulators Battle Royale – Unicode Edition,https://www.jeffquast.com/post/ucs-detect-test-results/,9 points
100,Nobody knows what's happening online anymore,https://www.theatlantic.com/technology/archive/2023/12/internet-information-trends-virality-tracking/676888/,287 points
101,"Bit banging a 3.5"" floppy drive",https://floppy.cafe/,209 points
102,Tsdocs.dev: Type docs for any JavaScript library,https://tsdocs.dev/,215 points
103,DNS over HTTPS is now available in Amazon Route 53 Resolver,https://aws.amazon.com/blogs/aws/dns-over-https-is-now-available-in-amazon-route-53-resolver/,17 points
104,CUDA vs. ROCm: A case study,https://shihab-shahriar.github.io//blog/2023/Cuda-vs-Rocm-A-Case-Study-Through-Random-Number-Libraries/,156 points
105,Application Traffic with eBPF,https://thebsdbox.co.uk/2023/12/08/Application-traffic-with-eBPF/,90 points
106,Ask HN: How do you decide a non-fiction book is worth your time?,https://news.ycombinator.com/item?id=38711252,23 points
107,Imran Khan deploys AI clone to campaign from behind bars in Pakistan,https://www.theguardian.com/world/2023/dec/18/imran-khan-deploys-ai-clone-to-campaign-from-behind-bars-in-pakistan,12 points
108,Run a DOS-based Web Server (seriously),https://lunduke.locals.com/post/5022504/how-to-run-a-dos-based-web-server-seriously,25 points
109,How many CPU cores can you use in parallel?,https://pythonspeed.com/articles/cpu-thread-pool-size/,177 points
110,QEMU Version 8.2.0 Released,https://www.qemu.org/2023/12/20/qemu-8-2-0/,11 points
111,How can I navigate office politics when I hate hierarchy and authority? (2019),https://www.askamanager.org/2019/08/how-can-i-accept-office-politics.html,6 points
112,Carmakers fight massive air bag recall that may cost $10B,https://www.bloomberg.com/news/articles/2023-12-20/massive-us-airbag-recall-could-happen-as-soon-as-2024,18 points
113,Open Source Infrastructure Somleng,https://www.somleng.org/blog.html,24 points
114,Why do programmers need private offices with doors?,https://blobstreaming.org/why-do-programmers-need-private-offices-with-doors-do-not-disturb/,332 points
115,3D Printer Auto Bed Leveling Mesh Visualizer,https://i.chillrain.com/index.php/3d-printer-auto-bed-leveling-mesh-visualizer/,89 points
116,Analysis of ancient Scythian leather samples shows two were made from human skin,https://phys.org/news/2023-12-analysis-ancient-scythian-leather-samples.html,26 points
117,James Webb Space Telescope captures high-resolution image of Uranus,https://webbtelescope.org/contents/news-releases/2023/news-2023-150,672 points
118,Ventoy,https://www.ventoy.net/en/index.html,569 points
119,C++ Should Be C++,https://www.open-std.org/jtc1/sc22/wg21/docs/papers/2023/p3023r1.html,128 points
120,Podman Desktop 1.6 released: Even more Kubernetes and Containers features,https://podman-desktop.io/blog/podman-desktop-release-1.6,135 points
121,Serendipity is too important to be left to chance (1996),https://web.media.mit.edu/%7Elieber/Teaching/Collaboration/Final-Projects/Starner-Project.html,129 points
122,Why the simplest explanation isn't always the best,https://www.pnas.org/doi/10.1073/pnas.2319169120,8 points
123,TuneNN: A transformer-based network model for pitch detection,https://github.com/TuneNN/TuneNN,108 points
124,Rediscovered Rembrandt portraits may be the artist's smallest paintings,https://hyperallergic.com/862203/rediscovered-rembrandt-portraits-may-be-the-artists-smallest-paintings/,16 points
125,JWST Images of 2023,https://bigthink.com/starts-with-a-bang/top-jwst-images-2023/,39 points
126,National Engineering Handbook,https://directives.sc.egov.usda.gov/RollupViewer.aspx?hid=17092,143 points
127,Humans progressively feel agency over events triggered before their actions,https://www.biorxiv.org/content/10.1101/2023.12.01.569449v1,111 points
128,Using AsciiDoc to write my two books,https://www.yieldcode.blog/post/asciidoc-for-book-writing/,27 points
129,Show HN: Flat – a minimalist teamwork app that protects focus (live demo),https://try.flat.app/,7 points
130,LLM in a Flash: Efficient LLM Inference with Limited Memory,https://huggingface.co/papers/2312.11514,243 points
131,Sudo without a setuid binary or SSH over a Unix socket,https://tim.siosm.fr/blog/2023/12/19/ssh-over-unix-socket/,74 points
132,Show HN: Interactive ECS Systems/Component Explorer for Cities: Skylines 2,https://captain-of-coit.github.io/cs2-ecs-explorer/#system/Game.Simulation.ServiceFeeSystem,92 points
133,Hasbro laying off Wizards of the Coast staff is baffling,https://www.geekwire.com/2023/hasbro-laying-off-wizards-of-the-coast-staff-is-baffling-and-could-lead-to-a-brain-drain/,384 points
134,The Obscure Google Deal That Defines America's Broken Privacy Protections,https://www.wired.com/story/google-consent-decree-ftc-broken-privacy-protections/,13 points
135,Gokrazy – Go Appliances,https://gokrazy.org/,258 points
136,Update tinsel bunting,https://github.com/alphagov/frontend/pull/3895,61 points
137,Project SCUM,https://en.wikipedia.org/wiki/Project_SCUM,8 points
138,Elizabeth line: Central stations now boasting 4G phone coverage,https://www.ianvisits.co.uk/articles/elizabeth-lines-central-stations-now-boasting-full-4g-phone-coverage-68356/,32 points
139,Show HN: Chrome Reaper,https://github.com/usnistgov/Metrology/tree/master/Reaper,80 points
140,A 90-year-old man who built a western wear empire,https://thehustle.co/the-90-year-old-man-who-built-a-western-wear-empire/,86 points
141,Plasmic.app: Visual editing and content platform for building websites and apps,https://www.plasmic.app/,206 points
142,A Mathematical Perspective on Transformers,https://arxiv.org/abs/2312.10794,78 points
143,Lessons from a never-ending personal project,https://siddhesh.substack.com/p/projects,263 points
144,RFC 9518 – What can internet standards do about centralisation?,https://www.mnot.net/blog/2023/12/19/standards-and-centralization,103 points
145,Apple to halt Apple Watch Series 9 and Ultra 2 sales in the US this week,https://9to5mac.com/2023/12/18/apple-halting-apple-watch-series-9-and-apple-watch-ultra-2-sales/,285 points
146,Look mum The photo you took is on Wikipedia,https://diff.wikimedia.org/2023/12/20/look-mum-the-photo-you-took-is-on-wikipedia/,38 points
147,"Vintage IKEA furnishings fetch £32,000 at auction in Stockholm",https://www.theguardian.com/business/2023/dec/19/vintage-ikea-furnishings-fetch-32000-at-auction-in-stockholm,25 points
148,Progress toward a GCC-based Rust compiler,https://lwn.net/SubscriberLink/954787/41470c731eda02a4/,344 points
